date,target,tv_spend,digital_spend,search_spend,social_spend
2024-01-01,1717.00,18000,12000,7000,5000
2024-01-08,1788.50,19500,12900,7650,5500
2024-01-15,1855.00,21000,13800,8300,6000
2024-01-22,1803.00,22500,14700,8950,5000
2024-01-29,1718.00,24000,15600,7000,5500
2024-02-05,1689.50,25500,12000,7650,6000
2024-02-12,1710.50,18000,12900,8300,5000
2024-02-19,1797.00,19500,13800,8950,5500
2024-02-26,1868.50,21000,14700,7000,6000
2024-03-04,1868.00,22500,15600,7650,5000
2024-03-11,1939.50,24000,12000,8300,5500
2024-03-18,2017.50,25500,12900,8950,6000
2024-03-25,1837.50,18800,13800,7000,5200
2024-04-01,1909.00,20300,14700,7650,5700
2024-04-08,1975.50,21800,15600,8300,6200
2024-04-15,1923.50,23300,16500,8950,5200
2024-04-22,1838.50,24800,12900,7000,5700
2024-04-29,1810.00,26300,13800,7650,6200
2024-05-06,1761.00,18800,14700,8300,5200
2024-05-13,1847.50,20300,15600,8950,5700
2024-05-20,1919.00,21800,16500,7000,6200
2024-05-27,1918.50,23300,12900,7650,5200
2024-06-03,1990.00,24800,13800,8300,5700
2024-06-10,2068.00,26300,14700,8950,6200
2024-06-17,1854.00,19600,15600,7000,5400
2024-06-24,1925.50,21100,16500,7650,5900
2024-07-01,1992.00,22600,17400,8300,6400
2024-07-08,1940.00,24100,18300,8950,5400
2024-07-15,1855.00,25600,14700,7000,5900
2024-07-22,1826.50,27100,15600,7650,6400
2024-07-29,1787.50,19600,16500,8300,5400
2024-08-05,1874.00,21100,17400,8950,5900
2024-08-12,1945.50,22600,18300,7000,6400
2024-08-19,1945.00,24100,14700,7650,5400
2024-08-26,2016.50,25600,15600,8300,5900
2024-09-02,2094.50,27100,16500,8950,6400
2024-09-09,1870.50,20400,17400,7000,5600
2024-09-16,1942.00,21900,18300,7650,6100
2024-09-23,2008.50,23400,19200,8300,6600
2024-09-30,1956.50,24900,20100,8950,5600
2024-10-07,1871.50,26400,16500,7000,6100
2024-10-14,1843.00,27900,17400,7650,6600
2024-10-21,1814.00,20400,18300,8300,5600
2024-10-28,1900.50,21900,19200,8950,6100
2024-11-04,1972.00,23400,20100,7000,6600
2024-11-11,1971.50,24900,16500,7650,5600
2024-11-18,2043.00,26400,17400,8300,6100
2024-11-25,2121.00,27900,18300,8950,6600
2024-12-02,1907.00,21200,19200,7000,5800
2024-12-09,1978.50,22700,20100,7650,6300
2024-12-16,2045.00,24200,21000,8300,6800
2024-12-23,2111.50,25700,21900,8950,5800
